agency_cd,site_no,Date,Flow,Flow_cd
USGS,13309220,2001-01-01,340,A e
USGS,13309220,2001-01-02,300,A e
USGS,13309220,2001-01-03,340,A e
USGS,13309220,2001-01-04,400,A e
USGS,13309220,2001-01-05,440,A e
USGS,13309220,2001-01-06,380,A e
USGS,13309220,2001-01-07,320,A e
USGS,13309220,2001-01-08,300,A e
USGS,13309220,2001-01-09,400,A e
USGS,13309220,2001-01-10,500,A e
USGS,13309220,2001-01-11,440,A e
USGS,13309220,2001-01-12,420,A e
USGS,13309220,2001-01-13,400,A e
USGS,13309220,2001-01-14,360,A e
USGS,13309220,2001-01-15,340,A e
USGS,13309220,2001-01-16,280,A e
USGS,13309220,2001-01-17,200,A e
USGS,13309220,2001-01-18,300,A e
USGS,13309220,2001-01-19,420,A e
USGS,13309220,2001-01-20,360,A e
USGS,13309220,2001-01-21,320,A e
USGS,13309220,2001-01-22,380,A e
USGS,13309220,2001-01-23,360,A e
USGS,13309220,2001-01-24,360,A e
USGS,13309220,2001-01-25,380,A e
USGS,13309220,2001-01-26,380,A e
USGS,13309220,2001-01-27,360,A e
USGS,13309220,2001-01-28,300,A e
USGS,13309220,2001-01-29,240,A e
USGS,13309220,2001-01-30,400,A e
USGS,13309220,2001-01-31,440,A e
USGS,13309220,2001-02-01,380,A e
USGS,13309220,2001-02-02,380,A e
USGS,13309220,2001-02-03,400,A e
USGS,13309220,2001-02-04,400,A e
USGS,13309220,2001-02-05,380,A e
USGS,13309220,2001-02-06,380,A e
USGS,13309220,2001-02-07,340,A e
USGS,13309220,2001-02-08,300,A e
USGS,13309220,2001-02-09,340,A e
USGS,13309220,2001-02-10,400,A e
USGS,13309220,2001-02-11,380,A e
USGS,13309220,2001-02-12,360,A e
USGS,13309220,2001-02-13,340,A e
USGS,13309220,2001-02-14,320,A e
USGS,13309220,2001-02-15,360,A e
USGS,13309220,2001-02-16,459,A
USGS,13309220,2001-02-17,418,A
USGS,13309220,2001-02-18,403,A
USGS,13309220,2001-02-19,397,A
USGS,13309220,2001-02-20,399,A
USGS,13309220,2001-02-21,399,A
USGS,13309220,2001-02-22,402,A
USGS,13309220,2001-02-23,375,A
USGS,13309220,2001-02-24,365,A
USGS,13309220,2001-02-25,379,A
USGS,13309220,2001-02-26,357,A
USGS,13309220,2001-02-27,360,A
USGS,13309220,2001-02-28,363,A
USGS,13309220,2001-03-01,345,A
USGS,13309220,2001-03-02,422,A
USGS,13309220,2001-03-03,371,A
USGS,13309220,2001-03-04,362,A
USGS,13309220,2001-03-05,375,A
USGS,13309220,2001-03-06,344,A
USGS,13309220,2001-03-07,344,A
USGS,13309220,2001-03-08,374,A
USGS,13309220,2001-03-09,428,A
USGS,13309220,2001-03-10,405,A
USGS,13309220,2001-03-11,392,A
USGS,13309220,2001-03-12,379,A
USGS,13309220,2001-03-13,380,A
USGS,13309220,2001-03-14,386,A
USGS,13309220,2001-03-15,355,A
USGS,13309220,2001-03-16,376,A
USGS,13309220,2001-03-17,362,A
USGS,13309220,2001-03-18,361,A
USGS,13309220,2001-03-19,416,A
USGS,13309220,2001-03-20,486,A
USGS,13309220,2001-03-21,498,A
USGS,13309220,2001-03-22,518,A
USGS,13309220,2001-03-23,560,A
USGS,13309220,2001-03-24,599,A
USGS,13309220,2001-03-25,646,A
USGS,13309220,2001-03-26,654,A
USGS,13309220,2001-03-27,572,A
USGS,13309220,2001-03-28,548,A
USGS,13309220,2001-03-29,541,A
