Date,Temperature,Stream,Reach,Section
8/14/02 15:44,13.87,Sulphur,2,upstream
8/14/02 16:24,14.18,Sulphur,2,upstream
8/14/02 17:04,14.18,Sulphur,2,upstream
8/14/02 17:44,14.18,Sulphur,2,upstream
8/14/02 18:24,14.02,Sulphur,2,upstream
8/14/02 19:04,13.87,Sulphur,2,upstream
8/14/02 19:44,13.41,Sulphur,2,upstream
8/14/02 20:24,13.09,Sulphur,2,upstream
8/14/02 21:04,12.78,Sulphur,2,upstream
8/14/02 21:44,12.16,Sulphur,2,upstream
8/14/02 22:24,11.69,Sulphur,2,upstream
8/14/02 23:04,11.23,Sulphur,2,upstream
8/14/02 23:44,10.92,Sulphur,2,upstream
8/15/02 0:24,10.46,Sulphur,2,upstream
8/15/02 1:04,10.15,Sulphur,2,upstream
8/15/02 1:44,9.84,Sulphur,2,upstream
8/15/02 2:24,9.53,Sulphur,2,upstream
8/15/02 3:04,9.22,Sulphur,2,upstream
8/15/02 3:44,9.06,Sulphur,2,upstream
8/15/02 4:24,8.75,Sulphur,2,upstream
8/15/02 5:04,8.6,Sulphur,2,upstream
8/15/02 5:44,8.29,Sulphur,2,upstream
8/15/02 6:24,8.13,Sulphur,2,upstream
8/15/02 7:04,7.83,Sulphur,2,upstream
8/15/02 7:44,7.67,Sulphur,2,upstream
8/15/02 8:24,7.52,Sulphur,2,upstream
8/15/02 9:04,7.52,Sulphur,2,upstream
8/15/02 9:44,7.67,Sulphur,2,upstream
8/15/02 10:24,8.13,Sulphur,2,upstream
8/15/02 11:04,8.91,Sulphur,2,upstream
8/15/02 11:44,9.68,Sulphur,2,upstream
8/15/02 12:24,10.62,Sulphur,2,upstream
8/15/02 13:04,11.69,Sulphur,2,upstream
8/15/02 13:44,12.63,Sulphur,2,upstream
8/15/02 14:24,13.41,Sulphur,2,upstream
8/15/02 15:04,13.87,Sulphur,2,upstream
8/15/02 15:44,14.18,Sulphur,2,upstream
8/15/02 16:24,14.33,Sulphur,2,upstream
8/15/02 17:04,14.49,Sulphur,2,upstream
8/15/02 17:44,14.33,Sulphur,2,upstream
8/15/02 18:24,14.18,Sulphur,2,upstream
8/15/02 19:04,13.87,Sulphur,2,upstream
8/15/02 19:44,13.71,Sulphur,2,upstream
8/15/02 20:24,13.25,Sulphur,2,upstream
8/15/02 21:04,12.78,Sulphur,2,upstream
8/15/02 21:44,12.32,Sulphur,2,upstream
8/15/02 22:24,11.85,Sulphur,2,upstream
8/15/02 23:04,11.38,Sulphur,2,upstream
8/15/02 23:44,10.92,Sulphur,2,upstream
8/16/02 0:24,10.46,Sulphur,2,upstream
8/16/02 1:04,10.15,Sulphur,2,upstream
8/16/02 1:44,9.84,Sulphur,2,upstream
8/16/02 2:24,9.53,Sulphur,2,upstream
8/16/02 3:04,9.22,Sulphur,2,upstream
8/16/02 3:44,8.91,Sulphur,2,upstream
8/16/02 4:24,8.6,Sulphur,2,upstream
8/16/02 5:04,8.44,Sulphur,2,upstream
8/16/02 5:44,8.13,Sulphur,2,upstream
8/16/02 6:24,7.98,Sulphur,2,upstream
8/16/02 7:04,7.67,Sulphur,2,upstream
8/16/02 7:44,7.52,Sulphur,2,upstream
8/16/02 8:24,7.37,Sulphur,2,upstream
8/16/02 9:04,7.37,Sulphur,2,upstream
8/16/02 9:44,7.52,Sulphur,2,upstream
8/16/02 10:24,8.13,Sulphur,2,upstream
8/16/02 11:04,8.75,Sulphur,2,upstream
