UNIQUE_ID,COMID,REACH,GNIS_NAME,OBS_CLASS,OBS_NAME,DATE,FEATURES,Feature_ID,OBJ_CLASS,EASTING,NORTHING,Comments,date,year,yday,month,stream
1000,23519529,BEAVER,Beaver Creek,MONITOR,TW,08312001,1,1,Redd,648141,4919637,NA,2001-08-31,2001,243,8,Beaver
1001,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,2,2,Redd,648904,4919846,NA,2001-08-31,2001,243,8,Beaver
1002,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,3,3,Redd,648904,4919846,NA,2001-08-31,2001,243,8,Beaver
1003,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,4,4,Redd,648940,4919800,NA,2001-08-31,2001,243,8,Beaver
1004,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,5,5,Redd,648950,4919830,NA,2001-08-31,2001,243,8,Beaver
1005,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,6,6,Redd,648950,4919830,NA,2001-08-31,2001,243,8,Beaver
1006,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,7,7,Redd,648950,4919830,NA,2001-08-31,2001,243,8,Beaver
1007,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,8,8,Redd,649005,4919944,NA,2001-08-31,2001,243,8,Beaver
1008,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,9,9,Redd,649004,4919961,NA,2001-08-31,2001,243,8,Beaver
1009,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,10,10,Redd,649004,4919961,NA,2001-08-31,2001,243,8,Beaver
1010,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,11,11,Redd,649093,4919995,NA,2001-08-31,2001,243,8,Beaver
1011,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,12,12,Redd,649130,4919985,NA,2001-08-31,2001,243,8,Beaver
1012,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,13,13,Redd,649159,4920015,NA,2001-08-31,2001,243,8,Beaver
1013,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,14,14,Redd,649159,4920015,NA,2001-08-31,2001,243,8,Beaver
1014,23519531,BEAVER,Beaver Creek,MONITOR,TW,08312001,15,15,Redd,649216,4920062,NA,2001-08-31,2001,243,8,Beaver
1015,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,16,16,Redd,649329,4920046,NA,2001-08-31,2001,243,8,Beaver
1016,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,17,17,Redd,649338,4920041,NA,2001-08-31,2001,243,8,Beaver
1017,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,18,18,Redd,649338,4920041,NA,2001-08-31,2001,243,8,Beaver
1018,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,19,19,Redd,649489,4920172,NA,2001-08-31,2001,243,8,Beaver
1019,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,20,20,Redd,649491,4920187,NA,2001-08-31,2001,243,8,Beaver
1020,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,21,21,Redd,649585,4920274,NA,2001-08-31,2001,243,8,Beaver
1021,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,22,22,Redd,649688,4920633,NA,2001-08-31,2001,243,8,Beaver
1022,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,23,23,Redd,650201,4921596,NA,2001-08-31,2001,243,8,Beaver
1023,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,24,24,Redd,650318,4921704,NA,2001-08-31,2001,243,8,Beaver
1024,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,25,25,Redd,650318,4921704,NA,2001-08-31,2001,243,8,Beaver
1025,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,26,26,Redd,650318,4921704,NA,2001-08-31,2001,243,8,Beaver
1026,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,27,27,Redd,650374,4921755,NA,2001-08-31,2001,243,8,Beaver
1027,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,28,28,Redd,650446,4921751,NA,2001-08-31,2001,243,8,Beaver
1028,23519535,BEAVER,Beaver Creek,MONITOR,TW,08312001,29,29,Redd,650607,4921765,NA,2001-08-31,2001,243,8,Beaver
1029,23519537,BEAVER,Beaver Creek,MONITOR,TW,08312001,30,30,Redd,650690,4921793,NA,2001-08-31,2001,243,8,Beaver
1030,23519539,BEAVER,Beaver Creek,MONITOR,TW,08312001,31,31,Redd,651633,4922338,NA,2001-08-31,2001,243,8,Beaver
1031,23519539,BEAVER,Beaver Creek,MONITOR,TW,08312001,32,32,Redd,651719,4922422,NA,2001-08-31,2001,243,8,Beaver
1032,23519539,BEAVER,Beaver Creek,MONITOR,TW,08312001,33,33,Redd,651719,4922422,NA,2001-08-31,2001,243,8,Beaver
1033,23519539,BEAVER,Beaver Creek,MONITOR,TW,08312001,34,34,Redd,651645,4922477,NA,2001-08-31,2001,243,8,Beaver
1034,23519539,BEAVER,Beaver Creek,MONITOR,TW,08312001,35,35,Redd,651736,4922468,NA,2001-08-31,2001,243,8,Beaver
1035,23519539,BEAVER,Beaver Creek,MONITOR,TW,08312001,36,36,Redd,651740,4922449,NA,2001-08-31,2001,243,8,Beaver
1036,23519541,BEAVER,Beaver Creek,MONITOR,TW,08312001,37,37,Redd,652191,4922652,NA,2001-08-31,2001,243,8,Beaver
1037,23519533,BEAVER,Beaver Creek,MONITOR,TW,08312001,38,38,Redd,649284,4920093,NA,2001-08-31,2001,243,8,Beaver
1055,23531971,BIG1,Big Creek,MONITOR,TA,08272001,1,1,Redd,647081,5002653,NA,2001-08-27,2001,239,8,Big
1056,23532003,BIG1,Big Creek,MONITOR,TA,08272001,2,2,Redd,647130,5002910,NA,2001-08-27,2001,239,8,Big
1057,23531971,BIG1,Big Creek,MONITOR,TA,08272001,3,3,Redd,647075,5002539,NA,2001-08-27,2001,239,8,Big
1058,23532003,BIG1,Big Creek,MONITOR,TA,08272001,4,4,Redd,646411,5003240,NA,2001-08-27,2001,239,8,Big
1059,23532003,BIG1,Big Creek,MONITOR,TA,08272001,5,5,Redd,646411,5003326,NA,2001-08-27,2001,239,8,Big
1060,23532005,BIG1,Big Creek,MONITOR,TA,08272001,6,6,Redd,646314,5003500,NA,2001-08-27,2001,239,8,Big
1061,23532003,BIG1,Big Creek,MONITOR,TA,08272001,7,7,Redd,646502,5003446,NA,2001-08-27,2001,239,8,Big
1062,23532005,BIG1,Big Creek,MONITOR,TA,08272001,8,8,Redd,645948,5003652,NA,2001-08-27,2001,239,8,Big
1063,23532005,BIG1,Big Creek,MONITOR,TA,08272001,9,9,Redd,645827,5003754,NA,2001-08-27,2001,239,8,Big
1064,23532005,BIG1,Big Creek,MONITOR,TA,08272001,10,10,Redd,645821,5003771,NA,2001-08-27,2001,239,8,Big
1065,23532005,BIG1,Big Creek,MONITOR,TA,08272001,11,11,Redd,645821,5003771,NA,2001-08-27,2001,239,8,Big
1066,23532005,BIG1,Big Creek,MONITOR,TA,08272001,12,12,Redd,645637,5003751,NA,2001-08-27,2001,239,8,Big
1067,23532005,BIG1,Big Creek,MONITOR,TA,08272001,13,13,Redd,645630,5003757,NA,2001-08-27,2001,239,8,Big
