REACH,OBS_CLASS,OBS_NAME,DATE,FEATURES,Feature_ID,OBJ_CLASS,EASTING,NORTHING,UNIQUE_ID
BEAVER,MONITOR,TW,08312001,1,1,Redd,648141,4919637,1000
BEAVER,MONITOR,TW,08312001,2,2,Redd,648904,4919846,1001
BEAVER,MONITOR,TW,08312001,3,3,Redd,648904,4919846,1002
BEAVER,MONITOR,TW,08312001,4,4,Redd,648940,4919800,1003
BEAVER,MONITOR,TW,08312001,5,5,Redd,648950,4919830,1004
BEAVER,MONITOR,TW,08312001,6,6,Redd,648950,4919830,1005
BEAVER,MONITOR,TW,08312001,7,7,Redd,648950,4919830,1006
BEAVER,MONITOR,TW,08312001,8,8,Redd,649005,4919944,1007
BEAVER,MONITOR,TW,08312001,9,9,Redd,649004,4919961,1008
BEAVER,MONITOR,TW,08312001,10,10,Redd,649004,4919961,1009
BEAVER,MONITOR,TW,08312001,11,11,Redd,649093,4919995,1010
BEAVER,MONITOR,TW,08312001,12,12,Redd,649130,4919985,1011
BEAVER,MONITOR,TW,08312001,13,13,Redd,649159,4920015,1012
BEAVER,MONITOR,TW,08312001,14,14,Redd,649159,4920015,1013
BEAVER,MONITOR,TW,08312001,15,15,Redd,649216,4920062,1014
BEAVER,MONITOR,TW,08312001,16,16,Redd,649329,4920046,1015
BEAVER,MONITOR,TW,08312001,17,17,Redd,649338,4920041,1016
BEAVER,MONITOR,TW,08312001,18,18,Redd,649338,4920041,1017
BEAVER,MONITOR,TW,08312001,19,19,Redd,649489,4920172,1018
BEAVER,MONITOR,TW,08312001,20,20,Redd,649491,4920187,1019
BEAVER,MONITOR,TW,08312001,21,21,Redd,649585,4920274,1020
BEAVER,MONITOR,TW,08312001,22,22,Redd,649688,4920633,1021
BEAVER,MONITOR,TW,08312001,23,23,Redd,650201,4921596,1022
BEAVER,MONITOR,TW,08312001,24,24,Redd,650318,4921704,1023
BEAVER,MONITOR,TW,08312001,25,25,Redd,650318,4921704,1024
BEAVER,MONITOR,TW,08312001,26,26,Redd,650318,4921704,1025
BEAVER,MONITOR,TW,08312001,27,27,Redd,650374,4921755,1026
BEAVER,MONITOR,TW,08312001,28,28,Redd,650446,4921751,1027
BEAVER,MONITOR,TW,08312001,29,29,Redd,650607,4921765,1028
BEAVER,MONITOR,TW,08312001,30,30,Redd,650690,4921793,1029
BEAVER,MONITOR,TW,08312001,31,31,Redd,651633,4922338,1030
BEAVER,MONITOR,TW,08312001,32,32,Redd,651719,4922422,1031
BEAVER,MONITOR,TW,08312001,33,33,Redd,651719,4922422,1032
BEAVER,MONITOR,TW,08312001,34,34,Redd,651645,4922477,1033
BEAVER,MONITOR,TW,08312001,35,35,Redd,651736,4922468,1034
BEAVER,MONITOR,TW,08312001,36,36,Redd,651740,4922449,1035
BEAVER,MONITOR,TW,08312001,37,37,Redd,652191,4922652,1036
BEAVER,MONITOR,TW,08312001,38,38,Redd,649284,4920093,1037
BEAVER,MONITOR,TW,08232001,fredd,39,fredd,648403,4919000,1038
BEAVER,MONITOR,TW,08232001,fredd,40,fredd,648545,4919902,1039
