Level1,Level2,Difference,SE,CI_low,CI_high,t,df,p
Beaver,Bear Valley,-1.427851537995764,3.6838891778677993,-8.651057811626913,5.795354735635384,-0.3875935102972319,2998,0.6983443870898762
Big,Bear Valley,-2.6595689758106573,2.5446058834863443,-7.648919169063644,2.3297812174423296,-1.0451791348398531,2998,0.2960244476108523
Camas,Bear Valley,0.6299501670773111,2.6766119019930077,-4.618231563987105,5.878131898141727,0.23535357016392613,2998,0.8139503940386759
Elk,Bear Valley,-6.604009591816833,3.6837843959957794,-13.827010413807393,0.6189912301737275,-1.7927242427638534,2998,0.07311780781531395
Loon,Bear Valley,8.897841577666128,2.5704373205160747,3.8578422500333573,13.937840905298899,3.461606126960404,2998,5.444713043455895e-4
Marsh,Bear Valley,6.715956022508919,2.8578183375529562,1.1124727611969156,12.319439283820923,2.3500290183803436,2998,0.018836447730561295
Sulphur,Bear Valley,-9.469854009753732,3.507408329258059,-16.347024474134113,-2.59268354537335,-2.699957666964012,2998,0.006973782890414446
Big,Beaver,-1.2317174378148934,3.373427239145752,-7.846183731705734,5.382748856075947,-0.3651234636164257,2998,0.7150450022890836
Camas,Beaver,2.057801705073075,3.498520394802646,-4.801941692200169,8.91754510234632,0.588191999146301,2998,0.5564477320117925
Elk,Beaver,-5.176158053821069,4.167741492285121,-13.348080454421325,2.995764346779186,-1.2419575598444919,2998,0.21434936813354127
Loon,Beaver,10.325693115661892,3.5684987051874284,3.3287393555942852,17.322646875729497,2.893567847075779,2998,0.0038364001365070494
Marsh,Beaver,8.143807560504683,3.7533384510226013,0.7844282367816113,15.503186884227755,2.1697503880274622,2998,0.030104063450983282
Sulphur,Beaver,-8.042002471757968,3.797501794229981,-15.487975317250527,-0.596029626265409,-2.117708669414505,2998,0.03428184824393394
Camas,Big,3.2895191428879684,2.34449480794326,-1.3074621417208956,7.8865004274968324,1.403082289516241,2998,0.1606958564081115
Elk,Big,-3.944440616006176,3.3876155546333093,-10.58672672870636,2.6978454966940077,-1.164370794853414,2998,0.2443664250374497
Loon,Big,11.557410553476785,2.300871339414683,7.045964228346682,16.068856878606887,5.023058158661261,2998,5.3833643071933e-7
Marsh,Big,9.375524998319577,2.6028608854993105,4.271950984616594,14.479099012022559,3.602007717950342,2998,3.2089581678220683e-4
Sulphur,Big,-6.8102850339430745,3.084797964782601,-12.85881986663285,-0.7617502012532995,-2.2076924037464556,2998,0.027341182682471692
Elk,Camas,-7.2339597588941444,3.515328235567406,-14.126659223789508,-0.341260293998781,-2.0578333726285782,2998,0.039692407293044865
Loon,Camas,8.267891410588817,2.4274130649963883,3.508327690508488,13.027455130669146,3.4060504698655887,2998,6.677756953952644e-4
Marsh,Camas,6.086005855431608,2.7238117770371897,0.7452767058449368,11.42673500501828,2.2343709307445705,2998,0.025532109302388546
Sulphur,Camas,-10.099804176831043,3.2655952998559057,-16.502838393705105,-3.696769959956983,-3.092791129775541,2998,0.002001087780716474
Loon,Elk,15.501851169482961,3.556125076098711,8.529159071736299,22.474543267229624,4.359197395410358,2998,1.3493162582774977e-5
Marsh,Elk,13.319965614325753,3.748565374437117,5.9699451271670165,20.66998610148449,3.5533502243710697,2998,3.862251383215941e-4
Sulphur,Elk,-2.8658444179368985,3.8836668901642235,-10.480765956365026,4.749077120491228,-0.7379223035824564,2998,0.46061941894071223
Marsh,Loon,-2.1818855551572085,2.5751843631839186,-7.231192673204948,2.867421562890531,-0.8472735336353,2998,0.3969103062663585
Sulphur,Loon,-18.36769558741986,3.410824297763617,-25.05548837279334,-11.679902802046378,-5.385119250928009,2998,7.799046600200183e-8
Sulphur,Marsh,-16.18581003226265,3.596286623239424,-23.237249107798,-9.134370956727304,-4.500700786102241,2998,7.0308754997280045e-6
